Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_LocationRestricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2019200814372,1,9,0,18,0,0,0,0,0,0,1,1,6,1,68,10,1198,1,8,1,1,1
2019200814372,2,1,0,18,0,0,0,0,0,0,1,1,6,2,11,3,-1,-1,-1,4,1,4
2019200814631,1,9,0,18,0,1,0,0,0,0,1,1,6,1,-1,-1,1910,2,14,-1,-1,-1
2019200814631,2,9,0,10,0,1,0,0,0,0,2,1,6,1,32,6,1229,1,4,1,1,1
2019200814653,1,9,0,18,0,0,0,0,0,0,3,1,6,1,-1,-1,1560,2,5,-1,-1,-1
2019200814653,2,8,0,18,0,0,0,0,0,0,1,1,1,2,-1,-1,1591,1,8,1,1,1
2019200814700,1,9,0,9,0,3,0,0,0,0,3,1,6,2,25,5,1298,1,16,-1,-1,-1
2019200814860,1,9,0,18,0,1,0,0,0,0,1,1,6,1,-1,-1,1596,1,13,-1,-1,-1
2019200814860,2,1,0,18,0,1,0,0,0,0,2,1,6,1,71,10,-1,-1,-1,1,1,1
2019200814861,1,9,0,18,0,1,0,0,0,0,1,1,2,1,27,6,2204,2,11,1,1,1
2019200814861,2,9,0,18,0,1,0,0,0,0,1,1,2,1,66,10,1598,1,9,4,1,4
2019200814903,1,9,0,5,0,1,0,0,0,0,1,1,6,1,-1,-1,1968,2,12,1,1,1
2019200814903,2,9,0,3,0,1,0,0,0,0,2,1,6,1,-1,-1,1598,2,8,-1,-1,-1
2019200815307,1,9,0,9,4,6,0,0,0,0,0,1,6,1,28,6,1598,1,13,6,1,6
2019200815307,2,1,0,18,4,8,0,0,0,0,0,1,6,1,22,5,-1,-1,-1,4,1,4
2019200815370,1,9,0,18,0,6,0,0,0,0,1,1,6,1,26,6,1364,2,11,2,1,2
2019200815370,2,9,0,18,0,8,0,0,0,0,4,1,6,2,24,5,1000,1,5,1,1,1
2019200815406,1,9,0,18,0,0,0,0,0,0,1,1,6,2,-1,-1,1499,2,2,-1,-1,-1
2019200815434,1,9,0,9,0,5,0,0,0,0,3,1,6,1,63,9,-1,-1,-1,10,1,10
2019200815434,2,3,0,18,0,8,1,0,0,0,1,1,6,1,25,5,125,1,13,7,1,7
2019200815434,3,9,0,18,0,8,0,0,0,0,1,1,6,1,37,7,1999,2,1,9,1,9
2019200815493,1,9,0,13,0,4,0,0,0,0,4,1,6,1,67,10,2993,2,6,5,3,5
2019200815493,2,9,0,18,0,4,0,0,0,0,3,1,6,2,58,9,1364,1,4,2,1,2
2019200815547,1,9,0,5,0,4,0,0,0,0,0,1,6,2,33,6,1998,1,13,1,1,1
2019200815547,2,1,0,18,0,8,0,0,0,0,0,1,6,1,35,6,-1,-1,-1,7,1,7
2019200815601,1,9,0,9,0,5,0,0,0,0,1,1,2,2,49,8,1395,1,4,1,1,1
2019200815601,2,1,0,18,0,8,0,0,0,0,3,1,2,2,24,5,-1,-1,-1,5,1,5
2019200815735,1,9,0,18,0,4,0,0,0,0,1,1,6,1,-1,-1,1496,2,1,5,1,5
2019200815735,2,1,0,18,0,4,0,0,0,0,1,1,6,2,28,6,-1,-1,-1,4,1,4
2019200816015,1,10,0,14,0,0,0,0,0,0,1,1,6,1,-1,-1,2198,2,6,1,1,1
2019200816159,1,9,0,18,0,0,0,0,0,0,0,1,1,1,46,8,2148,2,10,8,1,8
2019200816159,2,9,0,18,0,0,0,0,0,0,1,1,1,1,33,6,1399,2,9,8,1,8
2019200816159,3,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,2,1,2
2019200816253,1,9,0,3,0,2,0,0,0,0,2,1,1,2,35,6,1598,1,6,9,3,9
2019200816253,2,9,0,18,0,2,0,0,0,0,1,1,6,2,-1,-1,1360,1,17,7,1,7
2019200816471,1,9,0,18,0,0,0,0,0,0,4,1,2,1,38,7,1598,1,2,1,1,1
2019200816484,1,9,0,9,0,6,0,0,0,0,3,1,6,1,53,8,1991,1,2,7,1,7
2019200816484,2,1,0,18,0,8,0,0,0,0,1,1,6,1,31,6,-1,-1,-1,2,1,2
2019200816508,1,90,0,18,0,0,0,0,0,0,3,1,6,1,-1,-1,-1,-1,-1,9,3,9
2019200816508,2,9,0,3,0,0,0,0,0,0,3,1,3,1,46,8,1461,2,2,1,1,1
2019200816509,1,9,0,9,0,6,0,0,0,0,1,1,6,1,25,5,1995,2,8,1,1,1
2019200816509,2,9,0,18,0,8,0,0,0,0,4,1,6,1,36,7,-1,-1,-1,2,1,2
2019200816565,1,9,0,4,0,0,0,0,0,0,1,1,2,1,29,6,998,1,5,2,1,2
2019200816589,1,9,0,18,0,8,0,0,0,0,1,1,6,1,19,4,2143,2,3,-1,-1,-1
2019200816589,2,9,0,9,0,5,0,0,0,0,4,1,6,2,50,8,1896,2,15,1,1,1
2019200816593,1,9,5,9,0,6,0,0,0,0,4,1,6,1,24,5,1900,2,13,2,1,2
2019200816593,2,9,0,18,0,1,0,0,0,0,1,1,6,1,27,6,2987,2,3,6,1,6
2019200816686,1,9,0,9,0,5,0,0,0,0,1,1,6,1,61,9,2290,1,13,1,1,1
2019200816686,2,1,0,4,0,1,0,0,0,0,1,1,1,1,58,9,-1,-1,-1,1,1,1
2019200816696,1,9,0,7,0,3,0,0,0,0,1,1,6,1,19,4,1956,2,9,1,1,1
2019200816696,2,9,0,18,0,1,0,4,0,0,1,1,6,2,40,7,1596,1,8,7,1,7
2019200816696,3,9,0,2,0,1,0,0,0,0,3,1,5,1,-1,-1,1995,2,12,-1,-1,-1
2019200816783,1,9,0,1,0,0,0,0,0,0,1,1,6,3,-1,-1,1968,2,12,-1,-1,-1
2019200816783,2,9,0,3,0,0,0,0,0,0,0,1,6,1,28,6,1398,1,7,1,1,1
2019200816787,1,9,0,1,6,8,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200816796,1,9,0,18,0,4,0,0,0,0,3,1,2,1,58,9,1598,1,8,2,1,2
2019200816796,2,3,0,9,0,3,0,0,0,0,1,1,2,1,28,6,125,1,1,1,1,1
2019200816895,1,9,0,5,0,8,0,0,0,0,1,1,6,1,52,8,1587,1,17,5,1,5
2019200816895,2,9,0,18,0,8,0,0,0,0,1,1,6,1,31,6,1360,1,15,10,1,10
2019200816895,3,9,0,3,0,1,0,0,0,0,1,1,6,1,30,6,1124,1,19,4,1,4
2019200816895,4,19,0,3,0,1,0,0,0,0,1,1,1,1,38,7,2198,2,4,8,3,8
2019200816921,1,9,0,9,0,5,0,0,0,0,1,1,2,1,47,8,1497,8,2,1,1,1
2019200816921,2,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,1995,2,9,-1,-1,-1
2019200816948,1,9,0,9,0,6,0,0,0,0,1,1,6,1,-1,-1,1968,2,12,-1,-1,-1
2019200816948,2,9,0,17,0,8,0,0,0,0,1,1,6,1,43,7,1753,2,11,5,1,5
2019200816950,1,9,0,2,0,0,0,0,0,0,3,1,6,1,65,9,1896,2,16,10,1,10
2019200816950,2,9,0,1,0,0,0,4,0,0,2,1,6,1,-1,-1,1598,2,8,-1,-1,-1
2019200816959,1,9,0,18,0,8,0,0,0,0,1,1,6,1,22,5,1500,2,1,1,1,1
2019200816959,2,9,0,18,0,8,0,0,0,0,3,1,1,1,40,7,1797,8,8,1,1,1
2019200816989,1,9,0,18,0,1,0,7,0,0,1,1,6,1,15,3,1968,2,5,1,1,1
2019200816989,2,9,0,10,0,1,0,0,0,0,4,1,1,2,53,8,1995,2,7,10,1,10
2019200816989,3,9,0,10,0,1,0,0,0,0,4,1,1,2,41,7,-1,-1,-1,1,1,1
2019200816989,4,9,0,18,0,1,0,0,0,0,0,1,1,1,-1,-1,2993,2,1,5,1,5
2019200817005,1,9,0,18,0,0,0,0,0,0,1,1,6,2,51,8,1999,2,-1,7,1,7
2019200817005,2,9,0,18,0,0,1,0,0,0,1,1,6,1,32,6,-1,-1,-1,10,1,10
2019200817005,3,9,0,4,0,0,0,0,0,0,2,1,6,1,33,6,1461,2,5,4,1,4
2019200817005,4,9,0,4,0,0,0,0,0,0,2,1,6,1,34,6,1968,2,8,5,1,5
2019200817005,5,9,0,4,0,0,0,0,0,0,2,1,6,2,23,5,2143,2,6,3,1,3
2019200817114,1,1,0,18,0,8,0,0,0,0,1,1,1,1,39,7,-1,-1,-1,2,1,2
2019200817114,2,19,0,9,0,5,0,0,0,0,1,1,6,1,36,7,2148,2,11,3,1,3
2019200817120,1,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,1956,2,2,-1,-1,-1
2019200817120,2,9,0,18,0,0,0,0,0,0,2,1,1,1,31,6,1995,1,12,5,1,5
2019200817148,1,9,0,18,0,0,0,10,7,11,1,1,6,3,-1,-1,1968,2,13,-1,-1,-1
2019200817266,1,9,0,6,0,1,0,0,0,0,4,1,6,1,-1,-1,3189,1,13,-1,-1,-1
2019200817266,2,8,0,18,0,2,0,0,0,0,3,1,1,1,42,7,1686,2,6,2,1,2
2019200817295,1,9,0,5,0,4,0,0,0,0,1,1,6,1,52,8,1598,1,13,2,1,2
2019200817295,2,3,0,4,0,8,0,0,0,0,2,1,1,1,34,6,125,1,4,4,1,4
2019200817300,1,9,0,18,0,8,0,0,0,0,0,1,6,1,57,9,2179,2,4,4,1,4
2019200817300,2,9,0,18,0,6,0,0,0,0,3,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200817305,1,9,0,4,0,0,0,0,0,0,1,1,6,1,48,8,1997,2,14,7,1,7
2019200817355,1,9,0,14,0,0,0,0,0,0,4,1,6,1,73,10,1318,1,1,1,1,1
2019200817382,1,9,0,18,0,4,0,0,0,0,4,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
2019200817382,2,9,0,18,0,3,0,0,0,0,2,1,6,2,51,8,998,1,15,2,1,2
2019200817385,1,9,0,18,0,4,0,0,0,0,1,1,6,1,69,10,1560,2,6,3,1,3
2019200817385,2,1,0,18,0,3,0,0,0,0,4,1,6,1,24,5,-1,-1,-1,1,1,1
2019200817421,1,9,0,18,0,4,0,0,0,0,1,1,6,2,59,9,1296,1,12,7,1,7
2019200817421,2,9,0,18,0,8,0,10,1,2,4,1,6,1,73,10,-1,-1,-1,4,1,4
2019200817429,1,9,0,7,0,6,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200817429,2,1,0,14,0,8,0,0,0,0,4,1,6,1,32,6,-1,-1,-1,7,1,7
2019200817453,1,9,0,18,0,4,0,0,0,0,1,1,6,1,33,6,3189,1,16,4,1,4
2019200817467,1,9,0,18,0,1,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
2019200817467,2,9,0,3,0,1,0,0,0,0,2,1,6,2,49,8,1198,1,6,1,1,1
2019200817802,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200817842,1,8,0,3,0,0,0,0,0,0,3,1,1,1,31,6,1794,1,10,1,1,1
2019200817842,2,9,0,18,0,0,0,0,0,0,3,1,6,3,-1,-1,1149,1,9,-1,-1,-1
2019200817861,1,9,0,5,0,4,0,0,0,0,1,1,1,1,55,8,1200,1,2,2,1,2
2019200817861,2,1,0,18,0,1,0,0,0,0,4,1,1,1,45,7,-1,-1,-1,4,1,4
2019200818026,1,9,0,18,0,0,0,0,0,0,3,1,6,2,33,6,1360,1,9,6,1,6
2019200818026,2,21,0,11,0,0,0,0,0,0,4,1,6,1,-1,-1,-1,-1,-1,4,1,4
2019200818029,1,9,0,18,0,0,0,0,0,0,4,1,6,2,37,7,1598,1,6,9,1,9
2019200818154,1,98,0,18,0,2,0,0,0,0,1,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
2019200818179,1,9,0,18,0,8,0,0,0,0,1,1,6,2,32,6,1318,1,3,4,1,4
2019200818179,2,9,0,18,0,8,0,0,0,0,2,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
2019200818183,1,98,0,18,0,1,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200818183,2,9,0,9,0,1,0,0,0,0,3,1,6,1,38,7,1398,1,11,1,1,1
2019200818318,1,2,0,18,0,2,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
2019200818351,1,9,0,11,0,2,0,0,0,0,0,1,6,1,-1,-1,1896,2,10,-1,-1,-1
2019200818351,2,9,0,18,0,2,0,0,0,0,2,1,6,2,27,6,1598,2,6,1,1,1
2019200818351,3,9,0,18,0,2,0,0,0,0,1,1,5,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200818360,1,9,0,4,0,1,0,0,0,0,1,1,6,1,-1,-1,1499,2,4,-1,-1,-1
2019200818383,1,19,0,18,0,8,0,0,0,0,1,1,6,1,32,6,1560,2,8,5,1,5
2019200818383,2,9,0,10,0,1,0,0,0,0,1,1,6,1,33,6,1560,2,2,3,1,3
2019200818390,1,9,0,18,0,2,0,0,0,0,1,1,2,2,27,6,996,1,10,5,1,5
2019200818397,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,1686,2,14,-1,-1,-1
2019200818397,2,19,0,18,0,0,0,0,0,0,2,1,1,1,32,6,1598,2,2,3,1,3
2019200818422,1,8,0,9,0,2,0,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
2019200818427,1,9,0,18,0,1,0,0,0,0,3,1,6,1,39,7,1560,2,14,1,1,1
2019200818427,2,9,0,7,0,6,0,0,0,0,1,1,6,2,-1,-1,1995,2,9,-1,-1,-1
2019200818502,1,9,0,18,0,0,0,0,0,0,2,1,6,1,35,6,1791,8,8,1,1,1
2019200818502,2,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,1339,1,11,-1,-1,-1
2019200818535,1,9,0,18,0,1,0,0,0,0,1,1,6,2,45,7,1368,1,3,10,1,10
2019200818555,1,9,0,13,0,0,0,0,0,0,3,1,6,3,-1,-1,1596,1,12,-1,-1,-1
2019200818555,2,9,0,18,0,0,0,0,0,0,1,1,6,2,20,4,1398,1,1,7,1,7
2019200818643,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200818643,2,1,0,18,0,0,0,0,0,0,1,1,6,1,30,6,-1,-1,-1,-1,-1,-1
2019200818646,1,9,0,6,0,0,0,0,0,0,3,1,6,1,31,6,1598,1,16,1,1,1
2019200818646,2,8,0,18,0,0,0,0,0,0,4,1,1,1,39,7,2402,2,15,1,1,1
2019200818679,1,9,0,18,0,4,0,10,7,11,1,1,6,1,27,6,1995,2,12,4,1,4
2019200818679,2,9,0,18,0,8,0,10,1,1,1,1,1,1,30,6,1798,8,5,1,1,1
2019200818718,1,9,0,5,0,4,0,0,0,0,3,1,2,2,30,6,999,1,3,1,1,1
2019200818718,2,1,0,18,0,3,0,0,0,0,1,1,2,1,53,8,-1,-1,-1,1,1,1
2019200818801,1,9,0,18,0,4,0,0,0,0,3,1,6,1,27,6,1242,1,7,1,1,1
