Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2019200818646,2,4,2,1,33,6,3,0,0,2,0,0,8,1,7
2019200818646,2,5,2,2,33,6,3,0,0,2,0,0,8,1,7
2019200818679,1,2,2,2,17,4,3,0,0,1,0,0,9,-1,-1
2019200818679,2,1,1,1,30,6,3,0,0,0,0,0,9,1,1
2019200818718,2,1,1,1,53,8,3,0,0,0,0,0,1,1,1
2019200818801,1,1,2,1,1,1,3,0,0,2,0,0,9,1,1
2019200818837,2,1,1,1,53,8,3,0,0,0,0,0,9,1,4
2019200818913,1,1,3,2,38,7,3,1,1,0,0,2,0,1,3
2019200819038,1,1,3,1,32,6,3,9,5,0,0,2,0,-1,-1
2019200819052,1,1,3,2,34,6,3,10,9,0,0,2,0,1,3
2019200819085,1,1,1,1,31,6,3,0,0,0,0,0,5,2,10
2019200819158,1,1,3,2,13,3,2,1,3,0,0,0,0,-1,-1
2019200819209,2,1,2,2,14,3,3,0,0,2,0,0,9,1,1
2019200819237,1,1,3,2,23,5,3,4,1,0,0,2,0,1,4
2019200819401,1,1,1,2,24,5,3,0,0,0,0,0,9,1,3
2019200819550,1,1,2,2,26,6,2,0,0,1,0,0,9,-1,-1
2019200819568,2,1,1,1,36,7,3,0,0,0,0,0,9,-1,-1
2019200819588,2,1,2,2,82,11,3,0,0,1,0,0,9,1,5
2019200819596,1,1,1,1,32,6,2,0,0,0,0,0,9,1,2
2019200819632,1,1,1,2,21,5,3,0,0,0,0,0,9,1,4
2019200819806,1,1,3,1,10,2,2,1,4,0,0,0,0,-1,-1
2019200820173,1,2,2,2,64,9,3,0,0,1,0,0,9,1,1
2019200820173,2,1,1,2,42,7,3,0,0,0,0,0,9,1,1
2019200820174,1,1,3,2,46,8,2,6,9,0,0,2,0,1,5
2019200820174,1,2,3,1,-1,-1,3,6,9,0,0,0,0,1,3
2019200820206,1,1,3,1,22,5,2,8,7,0,0,2,0,1,9
2019200820300,1,1,1,1,37,7,3,0,0,0,0,0,9,1,5
